maquina,tipo_rotura,cantidad,fecha
URDIDORA # 02,Moña,7,20260918
URDIDORA # 02,Cambio o transferencia,3,20260918
URDIDORA # 02,Interferencia entre hilos,3,20260918
URDIDORA # 02,Interferencia manipulacion,2,20260918
URDIDORA # 02,Cola o reserva,1,20260918
URDIDORA # 02,interferencia queso caido,1,20260918
URDIDORA # 02,Hilos sueltos,12,20260918
URDIDORA # 03,Moña,19,20260918
URDIDORA # 03,Interferencia manipulacion,3,20260918
URDIDORA # 03,Interferencia entre hilos,2,20260918
URDIDORA # 03,Interferencia entre quesos,1,20260918
URDIDORA # 03,Hilos sueltos,3,20260918
